type	name	value	zone	address	bytes	access	other
Factory	UART3IFLS	0xcdcdcdcd	Memory	0x4000f034	4	readWrite	strong	
Factory	UART3IM	0xcdcdcdcd	Memory	0x4000f038	4	readWrite	strong	
Factory	UART3RIS	0xcdcdcdcd	Memory	0x4000f03c	4	readWrite	strong	
Factory	UART3MIS	0xcdcdcdcd	Memory	0x4000f040	4	readWrite	strong	
Factory	UART3ICR	0xcdcdcdcd	Memory	0x4000f044	4	writeOnly	strong	
Factory	UART3DMACTL	0xcdcdcdcd	Memory	0x4000f048	4	readWrite	strong	
Factory	UART3_9BITADDR	0xcdcdcdcd	Memory	0x4000f0a4	4	readWrite	strong	
Factory	UART3_9BITAMASK	0xcdcdcdcd	Memory	0x4000f0a8	4	readWrite	strong	
Factory	UART3PP	0xcdcdcdcd	Memory	0x4000ffc0	4	readWrite	strong	
Factory	UART3CC	0xcdcdcdcd	Memory	0x4000ffc8	4	readWrite	strong	
Factory	UART4DR	0xcdcdcdcd	Memory	0x40010000	4	readWrite	strong	
Factory	UART4RSR	0xcdcdcdcd	Memory	0x40010004	4	readWrite	strong	
Factory	UART4ECR_UART_ALT	0xcdcdcdcd	Memory	0x40010004	4	readWrite	strong	
Factory	UART4FR	0xcdcdcdcd	Memory	0x40010018	4	readWrite	strong	
Factory	UART4ILPR	0xcdcdcdcd	Memory	0x40010020	4	readWrite	strong	
Factory	UART4IBRD	0xcdcdcdcd	Memory	0x40010024	4	readWrite	strong	
Factory	UART4FBRD	0xcdcdcdcd	Memory	0x40010028	4	readWrite	strong	
Factory	UART4LCRH	0xcdcdcdcd	Memory	0x4001002c	4	readWrite	strong	
Factory	UART4CTL	0xcdcdcdcd	Memory	0x40010030	4	readWrite	strong	
Factory	UART4IFLS	0xcdcdcdcd	Memory	0x40010034	4	readWrite	strong	
Factory	UART4IM	0xcdcdcdcd	Memory	0x40010038	4	readWrite	strong	
Factory	UART4RIS	0xcdcdcdcd	Memory	0x4001003c	4	readWrite	strong	
Factory	UART4MIS	0xcdcdcdcd	Memory	0x40010040	4	readWrite	strong	
Factory	UART4ICR	0xcdcdcdcd	Memory	0x40010044	4	writeOnly	strong	
Factory	UART4DMACTL	0xcdcdcdcd	Memory	0x40010048	4	readWrite	strong	
Factory	UART4_9BITADDR	0xcdcdcdcd	Memory	0x400100a4	4	readWrite	strong	
Factory	UART4_9BITAMASK	0xcdcdcdcd	Memory	0x400100a8	4	readWrite	strong	
Factory	UART4PP	0xcdcdcdcd	Memory	0x40010fc0	4	readWrite	strong	
Factory	UART4CC	0xcdcdcdcd	Memory	0x40010fc8	4	readWrite	strong	
Factory	UART5DR	0xcdcdcdcd	Memory	0x40011000	4	readWrite	strong	
Factory	UART5RSR	0xcdcdcdcd	Memory	0x40011004	4	readWrite	strong	
Factory	UART5ECR_UART_ALT	0xcdcdcdcd	Memory	0x40011004	4	readWrite	strong	
Factory	UART5FR	0xcdcdcdcd	Memory	0x40011018	4	readWrite	strong	
Factory	UART5ILPR	0xcdcdcdcd	Memory	0x40011020	4	readWrite	strong	
Factory	UART5IBRD	0xcdcdcdcd	Memory	0x40011024	4	readWrite	strong	
Factory	UART5FBRD	0xcdcdcdcd	Memory	0x40011028	4	readWrite	strong	
Factory	UART5LCRH	0xcdcdcdcd	Memory	0x4001102c	4	readWrite	strong	
Factory	UART5CTL	0xcdcdcdcd	Memory	0x40011030	4	readWrite	strong	
Factory	UART5IFLS	0xcdcdcdcd	Memory	0x40011034	4	readWrite	strong	
Factory	UART5IM	0xcdcdcdcd	Memory	0x40011038	4	readWrite	strong	
Factory	UART5RIS	0xcdcdcdcd	Memory	0x4001103c	4	readWrite	strong	
Factory	UART5MIS	0xcdcdcdcd	Memory	0x40011040	4	readWrite	strong	
Factory	UART5ICR	0xcdcdcdcd	Memory	0x40011044	4	writeOnly	strong	
Factory	UART5DMACTL	0xcdcdcdcd	Memory	0x40011048	4	readWrite	strong	
Factory	UART5_9BITADDR	0xcdcdcdcd	Memory	0x400110a4	4	readWrite	strong	
Factory	UART5_9BITAMASK	0xcdcdcdcd	Memory	0x400110a8	4	readWrite	strong	
Factory	UART5PP	0xcdcdcdcd	Memory	0x40011fc0	4	readWrite	strong	
Factory	UART5CC	0xcdcdcdcd	Memory	0x40011fc8	4	readWrite	strong	
Factory	UART6DR	0xcdcdcdcd	Memory	0x40012000	4	readWrite	strong	
Factory	UART6RSR	0xcdcdcdcd	Memory	0x40012004	4	readWrite	strong	
Factory	UART6ECR_UART_ALT	0xcdcdcdcd	Memory	0x40012004	4	readWrite	strong	
Factory	UART6FR	0xcdcdcdcd	Memory	0x40012018	4	readWrite	strong	
Factory	UART6ILPR	0xcdcdcdcd	Memory	0x40012020	4	readWrite	strong	
Factory	UART6IBRD	0xcdcdcdcd	Memory	0x40012024	4	readWrite	strong	
Factory	UART6FBRD	0xcdcdcdcd	Memory	0x40012028	4	readWrite	strong	
Factory	UART6LCRH	0xcdcdcdcd	Memory	0x4001202c	4	readWrite	strong	
Factory	UART6CTL	0xcdcdcdcd	Memory	0x40012030	4	readWrite	strong	
Factory	UART6IFLS	0xcdcdcdcd	Memory	0x40012034	4	readWrite	strong	
Factory	UART6IM	0xcdcdcdcd	Memory	0x40012038	4	readWrite	strong	
Factory	UART6RIS	0xcdcdcdcd	Memory	0x4001203c	4	readWrite	strong	
Factory	UART6MIS	0xcdcdcdcd	Memory	0x40012040	4	readWrite	strong	
